discounted_reward,final_state_type,free_space_estimate,git_commit_id,hist_validation_hash,i_run,median_planning_time,median_prediction_time,median_updater_time,n_steps,pi_key,planner_hbm_key,simulation_hbm_key,solver_setup_key,undiscounted_reward,combined_median_time,normalized_discounted_reward
-152.4459621007189,success,-33.771795901601614,5a46325adf0116a43ebc2296b147f08be455863e,5040928907984999e3,183,0.002749522,0.012946085,0.010904894,53,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-233,0.026600501000000002,-118.67416619911728
-44.173386145213584,success,-29.655230500043043,5a46325adf0116a43ebc2296b147f08be455863e,16787715328551385e3,203,0.2780118485,0,0.0094594295,58,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-58,0.287471278,-14.518155645170541
-124.90280867992962,success,-29.655230500043043,5a46325adf0116a43ebc2296b147f08be455863e,6567901111179184e3,203,0.003988038,0.012172131,0.010334794,59,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-159,0.026494962999999996,-95.24757817988657
-27.50196640421462,success,-11.361512828387072,5a46325adf0116a43ebc2296b147f08be455863e,9565321267060953e3,223,0.2551856655,0,0.009420311,32,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-32,0.2646059765,-16.14045357582755
-24.528071279636716,success,-11.361512828387072,5a46325adf0116a43ebc2296b147f08be455863e,7434519723158639e3,223,0.0085357455,0.0122400945,0.009393585,28,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-28,0.030169425,-13.166558451249644
-44.73165228376145,success,-38.27098590577117,5a46325adf0116a43ebc2296b147f08be455863e,1727081055000934e3,243,0.295661796,0,0.009802716,59,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-59,0.30546451199999997,-6.460666377990279
-43.03987975228404,success,-38.27098590577117,5a46325adf0116a43ebc2296b147f08be455863e,386386009491435400,243,0.002266624,0.0124063625,0.009857821499999999,56,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-56,0.024530808,-4.768893846512867
-79.87084519862331,success,-20.63857163563444,5a46325adf0116a43ebc2296b147f08be455863e,4958228904281827e3,263,0.256598848,0,0.009462479,65,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-105,0.266061327,-59.23227356298887
-209.73869628392933,success,-20.63857163563444,5a46325adf0116a43ebc2296b147f08be455863e,1322622021177198e4,263,0.008740079,0.011740466,0.009551244,63,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-263,0.030031788999999996,-189.1001246482949
-180.0518137904024,success,-27.501966404214624,5a46325adf0116a43ebc2296b147f08be455863e,10246084397501938e3,283,0.300545224,0,0.009745437499999999,68,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-248,0.3102906615,-152.5498473861878
-51.98585434285783,success,-27.501966404214624,5a46325adf0116a43ebc2296b147f08be455863e,9523762267596093e3,283,0.004490266,0.011868689,0.009849618,73,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-73,0.026208573,-24.483887938643203
-22.99568541948446,success,-6.793465209301,5a46325adf0116a43ebc2296b147f08be455863e,10142863993699265e3,303,0.2313808035,0,0.0165525275,26,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-26,0.247933331,-16.20222021018346
-100.21075064317438,success,-6.793465209301,5a46325adf0116a43ebc2296b147f08be455863e,6586247505041993e3,303,0.004274274,0.011656569,0.009826647,37,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-117,0.02575749,-93.41728543387337
-35.738839791528136,success,-13.12541872310217,5a46325adf0116a43ebc2296b147f08be455863e,77685684388726850,323,0.25499289550000004,0,0.0095762385,44,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-44,0.26456913400000004,-22.613421068425964
-53.4538789405856,success,-13.12541872310217,5a46325adf0116a43ebc2296b147f08be455863e,16005260305769351e3,323,0.0045816035,0.011978200500000001,0.0098139955,42,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-62,0.0263737995,-40.328460217483425
-271.32044876858015,success,-14.854222890512437,5a46325adf0116a43ebc2296b147f08be455863e,1535208355502338e4,343,0.267448062,0,0.009699014499999999,116,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-416,0.2771470765,-256.4662258780677
-181.92601592901678,success,-14.854222890512437,5a46325adf0116a43ebc2296b147f08be455863e,7827541748013407e3,343,0.004819169,0.0117928065,0.0094256255,54,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-254,0.026037601,-167.07179303850435
-133.48722261018818,success,-22.217864060085315,5a46325adf0116a43ebc2296b147f08be455863e,15089697678796702e3,363,0.274691289,0,0.0095991215,56,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-156,0.2842904105,-111.26935855010287
-183.23925735778639,success,-22.217864060085315,5a46325adf0116a43ebc2296b147f08be455863e,7852763385213221e3,363,0.0101164945,0.012521388500000001,0.0097872295,86,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-226,0.032425112500000006,-161.02139329770108
-38.27098590577116,success,-19.02721317787414,5a46325adf0116a43ebc2296b147f08be455863e,12072612659249568e3,383,0.243492769,0,0.009739775499999999,48,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-48,0.2532325445,-19.243772727897024
-55.97668502625697,success,-19.02721317787414,5a46325adf0116a43ebc2296b147f08be455863e,8047728681034776e3,383,0.006750516,0.012557246,0.009699779,51,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-71,0.029007540999999998,-36.949471848382835
-34.43407794258559,success,-26.029962661171947,5a46325adf0116a43ebc2296b147f08be455863e,14807757737028362e3,403,0.2617931775,0,0.009980782,42,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-42,0.2717739595,-8.404115281413642
-57.01109864761058,success,-26.029962661171947,5a46325adf0116a43ebc2296b147f08be455863e,3566222616583011300,403,0.012288954500000001,0.0119025925,0.009733337500000001,84,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-84,0.0339248845,-30.981135986438634
-101.40292948848459,success,-18.20930624027691,5a46325adf0116a43ebc2296b147f08be455863e,5402251986518576e3,423,0.248717112,0,0.009772649,51,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-131,0.258489761,-83.19362324820767
-41.29632180625151,success,-18.20930624027691,5a46325adf0116a43ebc2296b147f08be455863e,6126056953384748e3,423,0.011083643,0.012361334,0.010005757,53,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-53,0.033450733999999996,-23.087015565974603
-36.381451393612856,success,-22.217864060085315,5a46325adf0116a43ebc2296b147f08be455863e,7487042438943484e3,443,0.255944585,0,0.01211635,45,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-45,0.268060935,-14.163587333527541
-31.055091413092182,success,-22.217864060085315,5a46325adf0116a43ebc2296b147f08be455863e,10453418238125615e3,443,0.034102337,0.011807951,0.009758811,37,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-37,0.055669099,-8.837227353006867
-27.50196640421462,success,-7.72553055720799,5a46325adf0116a43ebc2296b147f08be455863e,2679222634433919500,463,0.2373917095,0,0.0095364595,32,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-32,0.246928169,-19.77643584700663
-26.029962661171943,success,-7.72553055720799,5a46325adf0116a43ebc2296b147f08be455863e,864597795315327600,463,0.006443086000000001,0.011919447,0.0121926325,30,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-30,0.030555165500000002,-18.304432103963954
-26.029962661171943,success,-14.854222890512437,5a46325adf0116a43ebc2296b147f08be455863e,13259295264115288e3,483,0.215069684,0,0.009194686,30,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-30,0.22426437000000002,-11.175739770659506
-37.01763687967673,success,-14.854222890512437,5a46325adf0116a43ebc2296b147f08be455863e,1060105894695261e4,483,0.027283127999999997,0.0120939755,0.0093888695,46,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-46,0.048765973,-22.16341398916429
-33.102824143031924,success,-22.217864060085315,5a46325adf0116a43ebc2296b147f08be455863e,10910295315186364e3,503,0.2507685035,0,0.009394742000000001,40,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-40,0.26016324550000003,-10.884960082946609
-29.65523050004304,success,-22.217864060085315,5a46325adf0116a43ebc2296b147f08be455863e,1256769139959403e4,503,0.002322475,0.012720426,0.010367075,35,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-35,0.025409976,-7.437366439957724
-60.331099122471656,success,-23.765728565289617,5a46325adf0116a43ebc2296b147f08be455863e,4573533337919151600,523,0.265566735,0,0.009768474,61,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-81,0.27533520899999997,-36.565370557182035
-56.13824981900886,success,-23.765728565289617,5a46325adf0116a43ebc2296b147f08be455863e,16513103657198893e3,523,0.035496879499999995,0.012573418999999999,0.0098613005,82,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-82,0.05793159899999999,-32.37252125371924
-56.13824981900886,success,-33.771795901601614,5a46325adf0116a43ebc2296b147f08be455863e,1134171927539807700,543,0.331947743,0,0.009527230000000001,82,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-82,0.341474973,-22.36645391740725
-118.22074829398767,success,-33.771795901601614,5a46325adf0116a43ebc2296b147f08be455863e,9866015827889594e3,543,0.005149967,0.012181246,0.01005824,73,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-173,0.027389453,-84.44895239238605
-45.28433576092383,success,-32.42709509397165,5a46325adf0116a43ebc2296b147f08be455863e,15991857414452177e3,563,0.27520027999999996,0,0.009744613,60,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-60,0.284944893,-12.85724066695218
-48.48628825761961,success,-32.42709509397165,5a46325adf0116a43ebc2296b147f08be455863e,17002054116428356e3,563,0.005156903500000001,0.012521545,0.009718015,66,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-66,0.0273964635,-16.05919316364796
-37.64746051087996,success,-32.42709509397165,5a46325adf0116a43ebc2296b147f08be455863e,12362526285769558e3,583,0.290971362,0,0.00974166,47,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-47,0.300713022,-5.220365416908308
-37.64746051087996,success,-32.42709509397165,5a46325adf0116a43ebc2296b147f08be455863e,14070579796798192e3,583,0.002105853,0.01211954,0.009659818,47,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-47,0.023885211,-5.220365416908308
-40.703355359850015,success,-30.35867819504261,5a46325adf0116a43ebc2296b147f08be455863e,15179328726248407e3,603,0.257702835,0,0.0094466735,52,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-52,0.2671495085,-10.344677164807404
-40.703355359850015,success,-30.35867819504261,5a46325adf0116a43ebc2296b147f08be455863e,14190125367166378e3,603,0.0022631014999999997,0.0121106835,0.010646398500000001,52,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-52,0.0250201835,-10.344677164807404
-45.83149240331459,success,-38.88827604671346,5a46325adf0116a43ebc2296b147f08be455863e,8056588896930714e3,623,0.290626973,0,0.00934143,61,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-61,0.299968403,-6.943216356601134
-49.51141112129298,success,-38.88827604671346,5a46325adf0116a43ebc2296b147f08be455863e,8457624483509969e3,623,0.0523357775,0.011727874499999999,0.009639909,68,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-68,0.073703561,-10.623135074579523
-43.03987975228404,success,-34.434077942585596,5a46325adf0116a43ebc2296b147f08be455863e,1322981595180789e4,643,0.2763105165,0,0.009642083499999999,56,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-56,0.2859526,-8.605801809698441
-41.883358588189,success,-34.434077942585596,5a46325adf0116a43ebc2296b147f08be455863e,17843755401719667e3,643,0.0040664355,0.0124944,0.0099869525,54,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-54,0.026547788,-7.449280645603402
-38.27098590577116,success,-30.35867819504261,5a46325adf0116a43ebc2296b147f08be455863e,2115295170809222e3,11,0.3012881005,0,0.0096568,48,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-48,0.3109449005,-7.912307710728552
-35.738839791528136,success,-30.35867819504261,5a46325adf0116a43ebc2296b147f08be455863e,14937468613861251e3,11,0.0019517755,0.0117244515,0.0095920325,44,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-44,0.0232682595,-5.380161596485525
-50.51613403997925,success,-22.995685419484463,5a46325adf0116a43ebc2296b147f08be455863e,1119691232601703700,31,0.27533336249999996,0,0.009530887,70,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-70,0.28486424949999994,-27.520448620494786
-51.29294181026414,success,-22.995685419484463,5a46325adf0116a43ebc2296b147f08be455863e,6099104920361912e3,31,0.0070542845,0.0119827775,0.010363225,42,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-62,0.029400287,-28.297256390779676
-52.46599579942925,success,-32.42709509397165,5a46325adf0116a43ebc2296b147f08be455863e,8305889830247961e3,51,0.25315896849999997,0,0.0096912485,74,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-74,0.262850217,-20.0389007054576
-51.98585434285783,success,-32.42709509397165,5a46325adf0116a43ebc2296b147f08be455863e,7772946254222715e3,51,0.027267723,0.012767141,0.010401501,73,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-73,0.050436365,-19.558759248886176
-140.64175373458252,success,-22.217864060085315,5a46325adf0116a43ebc2296b147f08be455863e,11562327893594423e3,71,0.27769070549999997,0,0.009290094499999998,70,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-190,0.2869808,-118.4238896744972
-33.77179590160161,success,-22.217864060085315,5a46325adf0116a43ebc2296b147f08be455863e,161384623224099780,71,0.003116944,0.012102425,0.009587611,41,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-41,0.02480698,-11.553931841516292
-29.65523050004304,success,-15.705680661607312,5a46325adf0116a43ebc2296b147f08be455863e,15322773249555712e3,91,0.226790395,0,0.010061019,35,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-35,0.236851414,-13.949549838435727
-26.769663034560224,success,-15.705680661607312,5a46325adf0116a43ebc2296b147f08be455863e,9510381470635217e3,91,0.018553941,0.012173679,0.013868746,31,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-31,0.044596366,-11.063982372952912
-40.377176310913,success,-13.994164535871148,5a46325adf0116a43ebc2296b147f08be455863e,17346487055418253e3,111,0.230383755,0,0.010221039,29,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-49,0.24060479399999998,-26.38301177504185
-128.4487072381075,success,-13.994164535871148,5a46325adf0116a43ebc2296b147f08be455863e,9722375601471807e3,111,0.012105941,0.012193499,0.009810155,101,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-221,0.034109595,-114.45454270223634
-156.5078758216545,success,-8.64827525163591,5a46325adf0116a43ebc2296b147f08be455863e,4844545964726292e3,131,0.224111202,0,0.010350384,23,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-163,0.234461586,-147.85960057001859
-137.67827283363445,success,-8.64827525163591,5a46325adf0116a43ebc2296b147f08be455863e,6714552275587922e3,131,0.003548145,0.011784365,0.01009642,23,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-143,0.02542893,-129.02999758199854
-45.28433576092383,success,-35.73883979152814,5a46325adf0116a43ebc2296b147f08be455863e,7484916311225063e3,151,0.2898612895,0,0.0101245155,60,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-60,0.299985805,-9.545495969395688
-41.883358588189,success,-35.73883979152814,5a46325adf0116a43ebc2296b147f08be455863e,15635378712844145e3,151,0.002096353,0.0118373645,0.009775658,54,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-54,0.023709375499999998,-6.144518796660854
-183.31950519567695,success,-13.994164535871148,5a46325adf0116a43ebc2296b147f08be455863e,12539209330382993e3,171,0.275762764,0,0.009929144,45,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-205,0.285691908,-169.32534065980582
-183.95569068174083,success,-13.994164535871148,5a46325adf0116a43ebc2296b147f08be455863e,4703878769009439e3,171,0.0042357535,0.011455162,0.0090889495,46,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-206,0.024779864999999998,-169.9615261458697
-43.609480954761196,success,-25.28279056684035,5a46325adf0116a43ebc2296b147f08be455863e,597663531702715500,191,0.261321587,0,0.009653585,57,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-57,0.27097517200000004,-18.326690387920845
-151.75630716586667,success,-25.28279056684035,5a46325adf0116a43ebc2296b147f08be455863e,15842071762077147e3,191,0.0550809775,0.0120664775,0.009989604499999999,74,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-234,0.0771370595,-126.47351659902633
-37.64746051087996,success,-23.765728565289617,5a46325adf0116a43ebc2296b147f08be455863e,7904588787407796e3,211,0.265294812,0,0.01009987,47,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-47,0.275394682,-13.881731945590342
-38.27098590577116,success,-23.765728565289617,5a46325adf0116a43ebc2296b147f08be455863e,1372872224066546e4,211,0.0816068635,0.01206801,0.010118212500000001,48,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-48,0.103793086,-14.505257340481545
