discounted_reward,final_state_type,free_space_estimate,git_commit_id,hist_validation_hash,i_run,median_planning_time,median_prediction_time,median_updater_time,n_close,n_steps,pi_key,planner_hbm_key,simulation_hbm_key,solver_setup_key,undiscounted_reward,combined_median_time,normalized_discounted_reward
-124.90280867992962,success,-29.655230500043043,dcdd3e8ad0162d692145134a64a0b81109e09d93,6567901111179184e3,203,0.004387455,0.012846188,0.009934003,5,59,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-159,0.027167645999999997,-95.24757817988657
-27.50196640421462,success,-11.361512828387072,dcdd3e8ad0162d692145134a64a0b81109e09d93,9565321267060953e3,223,0.250914849,0,0.0102637105,0,32,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-32,0.2611785595,-16.14045357582755
-24.528071279636716,success,-11.361512828387072,dcdd3e8ad0162d692145134a64a0b81109e09d93,7434519723158639e3,223,0.006120622,0.0120253125,0.009728114999999999,0,28,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-28,0.027874049499999998,-13.166558451249644
-44.73165228376145,success,-38.27098590577117,dcdd3e8ad0162d692145134a64a0b81109e09d93,1727081055000934e3,243,0.295017078,0,0.009857011,0,59,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-59,0.304874089,-6.460666377990279
-43.03987975228404,success,-38.27098590577117,dcdd3e8ad0162d692145134a64a0b81109e09d93,386386009491435400,243,0.0021305545,0.011693567,0.009471703,0,56,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-56,0.0232958245,-4.768893846512867
-79.87084519862331,success,-20.63857163563444,dcdd3e8ad0162d692145134a64a0b81109e09d93,4958228904281827e3,263,0.26572351,0,0.009417233,2,65,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-105,0.275140743,-59.23227356298887
-209.73869628392933,success,-20.63857163563444,dcdd3e8ad0162d692145134a64a0b81109e09d93,1322622021177198e4,263,0.008257462,0.012306231,0.010325926,10,63,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-263,0.030889619,-189.1001246482949
-180.0518137904024,success,-27.501966404214624,dcdd3e8ad0162d692145134a64a0b81109e09d93,10246084397501938e3,283,0.288570019,0,0.009615714000000001,9,68,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-248,0.298185733,-152.5498473861878
-51.98585434285783,success,-27.501966404214624,dcdd3e8ad0162d692145134a64a0b81109e09d93,9523762267596093e3,283,0.005067534,0.011927641,0.010297469,0,73,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-73,0.027292643999999998,-24.483887938643203
-22.99568541948446,success,-6.793465209301,dcdd3e8ad0162d692145134a64a0b81109e09d93,10142863993699265e3,303,0.21984185950000001,0,0.00914624,0,26,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-26,0.22898809950000001,-16.20222021018346
-100.21075064317438,success,-6.793465209301,dcdd3e8ad0162d692145134a64a0b81109e09d93,6586247505041993e3,303,0.004401401,0.012010299,0.012231331,4,37,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-117,0.028643031,-93.41728543387337
-35.738839791528136,success,-13.12541872310217,dcdd3e8ad0162d692145134a64a0b81109e09d93,77685684388726850,323,0.25802902250000004,0,0.009588372500000001,0,44,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-44,0.26761739500000004,-22.613421068425964
-53.4538789405856,success,-13.12541872310217,dcdd3e8ad0162d692145134a64a0b81109e09d93,16005260305769351e3,323,0.005284715,0.011736038,0.009438522,1,42,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-62,0.026459275,-40.328460217483425
-271.32044876858015,success,-14.854222890512437,dcdd3e8ad0162d692145134a64a0b81109e09d93,1535208355502338e4,343,0.2665651825,0,0.009598248,15,116,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-416,0.2761634305,-256.4662258780677
-181.92601592901678,success,-14.854222890512437,dcdd3e8ad0162d692145134a64a0b81109e09d93,7827541748013407e3,343,0.0042918685,0.0120181355,0.011027322499999999,10,54,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-254,0.0273373265,-167.07179303850435
-133.48722261018818,success,-22.217864060085315,dcdd3e8ad0162d692145134a64a0b81109e09d93,15089697678796702e3,363,0.272322909,0,0.0097371495,5,56,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-156,0.2820600585,-111.26935855010287
-183.23925735778639,success,-22.217864060085315,dcdd3e8ad0162d692145134a64a0b81109e09d93,7852763385213221e3,363,0.011563558,0.0117220855,0.009760516,7,86,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-226,0.0330461595,-161.02139329770108
-38.27098590577116,success,-19.02721317787414,dcdd3e8ad0162d692145134a64a0b81109e09d93,12072612659249568e3,383,0.2323242825,0,0.009944917000000001,0,48,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-48,0.2422691995,-19.243772727897024
-55.97668502625697,success,-19.02721317787414,dcdd3e8ad0162d692145134a64a0b81109e09d93,8047728681034776e3,383,0.006752542,0.012024655,0.009652199,1,51,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-71,0.028429396000000003,-36.949471848382835
-34.43407794258559,success,-26.029962661171947,dcdd3e8ad0162d692145134a64a0b81109e09d93,14807757737028362e3,403,0.2712264515,0,0.010003802499999999,0,42,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-42,0.281230254,-8.404115281413642
-57.01109864761058,success,-26.029962661171947,dcdd3e8ad0162d692145134a64a0b81109e09d93,3566222616583011300,403,0.0106423305,0.011829966,0.009421611,0,84,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-84,0.0318939075,-30.981135986438634
-101.40292948848459,success,-18.20930624027691,dcdd3e8ad0162d692145134a64a0b81109e09d93,5402251986518576e3,423,0.252590418,0,0.009998826,4,51,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-131,0.262589244,-83.19362324820767
